Season,Episode,Character1,Character2,Dialogue
1,1,BURNHAM,GEORGIOU,"We come in peace. That's why we're here. Isn't that the whole idea of Starfleet? Hey, I taught you that."
1,1,GEORGIOU,BURNHAM,"Hey, I taught you that. You don't trust me, Captain?"
1,1,BURNHAM,GEORGIOU,"You don't trust me, Captain? I trust you with my life, Commander Burnham, but it doesn't change the fact that you're lost. Very lost."
1,1,GEORGIOU,BURNHAM,"I trust you with my life, Commander Burnham, but it doesn't change the fact that you're lost. Very lost. Technically, we would be lost."
1,1,BURNHAM,GEORGIOU,"Technically, we would be lost. How long until that storm comes crashing down on us?"
1,1,GEORGIOU,BURNHAM,"How long until that storm comes crashing down on us? I estimate one hour, 17 minutes, 22 seconds. Which is why I've made sure we're not lost. The map says the well is this way, Captain."
1,1,BURNHAM,GEORGIOU,"This drought's going to last 89 years. The Crepusculans are facing extinction as a species. See those egg sacs? Those are their offspring. They've survived here for over a thousand years, Michael."
1,1,GEORGIOU,BURNHAM,"They've survived here for over a thousand years, Michael. Right, and if we don't do something now, they won't live another thousand hours. The ambient radiation from a nearby drilling accident dried out their water table. If we can get in and out without making contact, we can steer clear of General Order One. And there is the well."
1,1,BURNHAM,GEORGIOU,"Right, and if we don't do something now, they won't live another thousand hours. The ambient radiation from a nearby drilling accident dried out their water table. If we can get in and out without making contact, we can steer clear of General Order One. And there is the well. I stand corrected."
1,1,GEORGIOU,BURNHAM,I stand corrected. Ye of little faith.
1,1,BURNHAM,GEORGIOU,"Ye of little faith. Oh, never had a doubt. (powers up phaser rifle) Tell me what I need to break through this bedrock."
1,1,GEORGIOU,BURNHAM,"Oh, never had a doubt. (powers up phaser rifle) Tell me what I need to break through this bedrock. Point 7 second field burst at level setting 13.5."
1,1,BURNHAM,GEORGIOU,Point 7 second field burst at level setting 13.5. Georgiou to Shenzhou. Two to transport.
1,1,GEORGIOU,BURNHAM,"Georgiou to Shenzhou. Two to transport. The storm is moving faster than I thought. The ship won't be able to pick up our signatures. Unless we can contact Lieutenant Saru, we could be trapped here until it's over."
1,1,BURNHAM,GEORGIOU,"The storm is moving faster than I thought. The ship won't be able to pick up our signatures. Unless we can contact Lieutenant Saru, we could be trapped here until it's over. Let's take a walk."
1,1,GEORGIOU,BURNHAM,"Follow my footsteps, Michael, even lines. Why? Captain, where are we going?"
1,1,BURNHAM,GEORGIOU,"Why? Captain, where are we going? It's your turn to trust me, Number One."
1,1,GEORGIOU,BURNHAM,"It's your turn to trust me, Number One. But now we're really lost. We're far too small to be seen with the naked eye. And you can't set a course without a star. Is it wise to be heading away from the village?"
