Season,Episode,Character1,Character2,Word
1,1,BURNHAM,GEORGIOU,We
1,1,BURNHAM,GEORGIOU,come
1,1,BURNHAM,GEORGIOU,in
1,1,BURNHAM,GEORGIOU,peace
1,1,BURNHAM,GEORGIOU,That
1,1,BURNHAM,GEORGIOU,s
1,1,BURNHAM,GEORGIOU,why
1,1,BURNHAM,GEORGIOU,we
1,1,BURNHAM,GEORGIOU,re
1,1,BURNHAM,GEORGIOU,here
1,1,BURNHAM,GEORGIOU,Isn
1,1,BURNHAM,GEORGIOU,t
1,1,BURNHAM,GEORGIOU,that
1,1,BURNHAM,GEORGIOU,the
1,1,BURNHAM,GEORGIOU,whole
1,1,BURNHAM,GEORGIOU,idea
1,1,BURNHAM,GEORGIOU,of
1,1,BURNHAM,GEORGIOU,Starfleet
1,1,BURNHAM,GEORGIOU,Hey
1,1,BURNHAM,GEORGIOU,I
1,1,BURNHAM,GEORGIOU,taught
1,1,BURNHAM,GEORGIOU,you
1,1,BURNHAM,GEORGIOU,that
1,1,GEORGIOU,BURNHAM,Hey
1,1,GEORGIOU,BURNHAM,I
1,1,GEORGIOU,BURNHAM,taught
1,1,GEORGIOU,BURNHAM,you
1,1,GEORGIOU,BURNHAM,that
1,1,GEORGIOU,BURNHAM,You
1,1,GEORGIOU,BURNHAM,don
1,1,GEORGIOU,BURNHAM,t
1,1,GEORGIOU,BURNHAM,trust
1,1,GEORGIOU,BURNHAM,me
1,1,GEORGIOU,BURNHAM,Captain
1,1,BURNHAM,GEORGIOU,You
1,1,BURNHAM,GEORGIOU,don
1,1,BURNHAM,GEORGIOU,t
1,1,BURNHAM,GEORGIOU,trust
1,1,BURNHAM,GEORGIOU,me
1,1,BURNHAM,GEORGIOU,Captain
1,1,BURNHAM,GEORGIOU,I
1,1,BURNHAM,GEORGIOU,trust
1,1,BURNHAM,GEORGIOU,you
1,1,BURNHAM,GEORGIOU,with
1,1,BURNHAM,GEORGIOU,my
1,1,BURNHAM,GEORGIOU,life
1,1,BURNHAM,GEORGIOU,Commander
1,1,BURNHAM,GEORGIOU,Burnham
1,1,BURNHAM,GEORGIOU,but
1,1,BURNHAM,GEORGIOU,it
1,1,BURNHAM,GEORGIOU,doesn
1,1,BURNHAM,GEORGIOU,t
1,1,BURNHAM,GEORGIOU,change
1,1,BURNHAM,GEORGIOU,the
1,1,BURNHAM,GEORGIOU,fact
1,1,BURNHAM,GEORGIOU,that
1,1,BURNHAM,GEORGIOU,you
1,1,BURNHAM,GEORGIOU,re
1,1,BURNHAM,GEORGIOU,lost
1,1,BURNHAM,GEORGIOU,Very
1,1,BURNHAM,GEORGIOU,lost
1,1,GEORGIOU,BURNHAM,I
1,1,GEORGIOU,BURNHAM,trust
1,1,GEORGIOU,BURNHAM,you
1,1,GEORGIOU,BURNHAM,with
1,1,GEORGIOU,BURNHAM,my
1,1,GEORGIOU,BURNHAM,life
1,1,GEORGIOU,BURNHAM,Commander
1,1,GEORGIOU,BURNHAM,Burnham
1,1,GEORGIOU,BURNHAM,but
1,1,GEORGIOU,BURNHAM,it
1,1,GEORGIOU,BURNHAM,doesn
1,1,GEORGIOU,BURNHAM,t
1,1,GEORGIOU,BURNHAM,change
1,1,GEORGIOU,BURNHAM,the
1,1,GEORGIOU,BURNHAM,fact
1,1,GEORGIOU,BURNHAM,that
1,1,GEORGIOU,BURNHAM,you
1,1,GEORGIOU,BURNHAM,re
1,1,GEORGIOU,BURNHAM,lost
1,1,GEORGIOU,BURNHAM,Very
1,1,GEORGIOU,BURNHAM,lost
1,1,GEORGIOU,BURNHAM,Technically
1,1,GEORGIOU,BURNHAM,we
1,1,GEORGIOU,BURNHAM,would
1,1,GEORGIOU,BURNHAM,be
1,1,GEORGIOU,BURNHAM,lost
1,1,BURNHAM,GEORGIOU,Technically
1,1,BURNHAM,GEORGIOU,we
1,1,BURNHAM,GEORGIOU,would
1,1,BURNHAM,GEORGIOU,be
1,1,BURNHAM,GEORGIOU,lost
1,1,BURNHAM,GEORGIOU,How
1,1,BURNHAM,GEORGIOU,long
1,1,BURNHAM,GEORGIOU,until
1,1,BURNHAM,GEORGIOU,that
1,1,BURNHAM,GEORGIOU,storm
1,1,BURNHAM,GEORGIOU,comes
1,1,BURNHAM,GEORGIOU,crashing
1,1,BURNHAM,GEORGIOU,down
1,1,BURNHAM,GEORGIOU,on
1,1,BURNHAM,GEORGIOU,us
1,1,GEORGIOU,BURNHAM,How
1,1,GEORGIOU,BURNHAM,long
1,1,GEORGIOU,BURNHAM,until
1,1,GEORGIOU,BURNHAM,that
1,1,GEORGIOU,BURNHAM,storm
1,1,GEORGIOU,BURNHAM,comes
1,1,GEORGIOU,BURNHAM,crashing
1,1,GEORGIOU,BURNHAM,down
1,1,GEORGIOU,BURNHAM,on
1,1,GEORGIOU,BURNHAM,us
1,1,GEORGIOU,BURNHAM,I
1,1,GEORGIOU,BURNHAM,estimate
1,1,GEORGIOU,BURNHAM,one
1,1,GEORGIOU,BURNHAM,hour
1,1,GEORGIOU,BURNHAM,17
1,1,GEORGIOU,BURNHAM,minutes
1,1,GEORGIOU,BURNHAM,22
1,1,GEORGIOU,BURNHAM,seconds
1,1,GEORGIOU,BURNHAM,Which
1,1,GEORGIOU,BURNHAM,is
1,1,GEORGIOU,BURNHAM,why
1,1,GEORGIOU,BURNHAM,I
1,1,GEORGIOU,BURNHAM,ve
1,1,GEORGIOU,BURNHAM,made
1,1,GEORGIOU,BURNHAM,sure
1,1,GEORGIOU,BURNHAM,we
1,1,GEORGIOU,BURNHAM,re
1,1,GEORGIOU,BURNHAM,not
1,1,GEORGIOU,BURNHAM,lost
1,1,GEORGIOU,BURNHAM,The
1,1,GEORGIOU,BURNHAM,map
1,1,GEORGIOU,BURNHAM,says
1,1,GEORGIOU,BURNHAM,the
1,1,GEORGIOU,BURNHAM,well
1,1,GEORGIOU,BURNHAM,is
1,1,GEORGIOU,BURNHAM,this
1,1,GEORGIOU,BURNHAM,way
1,1,GEORGIOU,BURNHAM,Captain
1,1,BURNHAM,GEORGIOU,This
1,1,BURNHAM,GEORGIOU,drought
1,1,BURNHAM,GEORGIOU,s
1,1,BURNHAM,GEORGIOU,going
1,1,BURNHAM,GEORGIOU,to
1,1,BURNHAM,GEORGIOU,last
1,1,BURNHAM,GEORGIOU,89
1,1,BURNHAM,GEORGIOU,years
1,1,BURNHAM,GEORGIOU,The
1,1,BURNHAM,GEORGIOU,Crepusculans
1,1,BURNHAM,GEORGIOU,are
1,1,BURNHAM,GEORGIOU,facing
1,1,BURNHAM,GEORGIOU,extinction
1,1,BURNHAM,GEORGIOU,as
1,1,BURNHAM,GEORGIOU,a
1,1,BURNHAM,GEORGIOU,species
1,1,BURNHAM,GEORGIOU,See
1,1,BURNHAM,GEORGIOU,those
1,1,BURNHAM,GEORGIOU,egg
1,1,BURNHAM,GEORGIOU,sacs
1,1,BURNHAM,GEORGIOU,Those
1,1,BURNHAM,GEORGIOU,are
1,1,BURNHAM,GEORGIOU,their
1,1,BURNHAM,GEORGIOU,offspring
1,1,BURNHAM,GEORGIOU,They
1,1,BURNHAM,GEORGIOU,ve
1,1,BURNHAM,GEORGIOU,survived
1,1,BURNHAM,GEORGIOU,here
1,1,BURNHAM,GEORGIOU,for
1,1,BURNHAM,GEORGIOU,over
1,1,BURNHAM,GEORGIOU,a
1,1,BURNHAM,GEORGIOU,thousand
1,1,BURNHAM,GEORGIOU,years
1,1,BURNHAM,GEORGIOU,Michael
1,1,GEORGIOU,BURNHAM,They
1,1,GEORGIOU,BURNHAM,ve
1,1,GEORGIOU,BURNHAM,survived
1,1,GEORGIOU,BURNHAM,here
1,1,GEORGIOU,BURNHAM,for
1,1,GEORGIOU,BURNHAM,over
1,1,GEORGIOU,BURNHAM,a
1,1,GEORGIOU,BURNHAM,thousand
1,1,GEORGIOU,BURNHAM,years
1,1,GEORGIOU,BURNHAM,Michael
1,1,GEORGIOU,BURNHAM,Right
1,1,GEORGIOU,BURNHAM,and
1,1,GEORGIOU,BURNHAM,if
1,1,GEORGIOU,BURNHAM,we
1,1,GEORGIOU,BURNHAM,don
1,1,GEORGIOU,BURNHAM,t
1,1,GEORGIOU,BURNHAM,do
1,1,GEORGIOU,BURNHAM,something
1,1,GEORGIOU,BURNHAM,now
1,1,GEORGIOU,BURNHAM,they
1,1,GEORGIOU,BURNHAM,won
1,1,GEORGIOU,BURNHAM,t
1,1,GEORGIOU,BURNHAM,live
1,1,GEORGIOU,BURNHAM,another
1,1,GEORGIOU,BURNHAM,thousand
1,1,GEORGIOU,BURNHAM,hours
1,1,GEORGIOU,BURNHAM,The
1,1,GEORGIOU,BURNHAM,ambient
1,1,GEORGIOU,BURNHAM,radiation
1,1,GEORGIOU,BURNHAM,from
1,1,GEORGIOU,BURNHAM,a
1,1,GEORGIOU,BURNHAM,nearby
1,1,GEORGIOU,BURNHAM,drilling
1,1,GEORGIOU,BURNHAM,accident
1,1,GEORGIOU,BURNHAM,dried
1,1,GEORGIOU,BURNHAM,out
1,1,GEORGIOU,BURNHAM,their
1,1,GEORGIOU,BURNHAM,water
1,1,GEORGIOU,BURNHAM,table
1,1,GEORGIOU,BURNHAM,If
1,1,GEORGIOU,BURNHAM,we
1,1,GEORGIOU,BURNHAM,can
1,1,GEORGIOU,BURNHAM,get
1,1,GEORGIOU,BURNHAM,in
1,1,GEORGIOU,BURNHAM,and
1,1,GEORGIOU,BURNHAM,out
1,1,GEORGIOU,BURNHAM,without
1,1,GEORGIOU,BURNHAM,making
1,1,GEORGIOU,BURNHAM,contact
1,1,GEORGIOU,BURNHAM,we
1,1,GEORGIOU,BURNHAM,can
1,1,GEORGIOU,BURNHAM,steer
1,1,GEORGIOU,BURNHAM,clear
1,1,GEORGIOU,BURNHAM,of
1,1,GEORGIOU,BURNHAM,General
1,1,GEORGIOU,BURNHAM,Order
1,1,GEORGIOU,BURNHAM,One
1,1,GEORGIOU,BURNHAM,And
1,1,GEORGIOU,BURNHAM,there
1,1,GEORGIOU,BURNHAM,is
1,1,GEORGIOU,BURNHAM,the
1,1,GEORGIOU,BURNHAM,well
1,1,BURNHAM,GEORGIOU,Right
1,1,BURNHAM,GEORGIOU,and
1,1,BURNHAM,GEORGIOU,if
1,1,BURNHAM,GEORGIOU,we
1,1,BURNHAM,GEORGIOU,don
1,1,BURNHAM,GEORGIOU,t
1,1,BURNHAM,GEORGIOU,do
1,1,BURNHAM,GEORGIOU,something
1,1,BURNHAM,GEORGIOU,now
1,1,BURNHAM,GEORGIOU,they
1,1,BURNHAM,GEORGIOU,won
1,1,BURNHAM,GEORGIOU,t
1,1,BURNHAM,GEORGIOU,live
1,1,BURNHAM,GEORGIOU,another
1,1,BURNHAM,GEORGIOU,thousand
1,1,BURNHAM,GEORGIOU,hours
1,1,BURNHAM,GEORGIOU,The
1,1,BURNHAM,GEORGIOU,ambient
1,1,BURNHAM,GEORGIOU,radiation
1,1,BURNHAM,GEORGIOU,from
1,1,BURNHAM,GEORGIOU,a
1,1,BURNHAM,GEORGIOU,nearby
1,1,BURNHAM,GEORGIOU,drilling
1,1,BURNHAM,GEORGIOU,accident
1,1,BURNHAM,GEORGIOU,dried
1,1,BURNHAM,GEORGIOU,out
1,1,BURNHAM,GEORGIOU,their
1,1,BURNHAM,GEORGIOU,water
1,1,BURNHAM,GEORGIOU,table
1,1,BURNHAM,GEORGIOU,If
1,1,BURNHAM,GEORGIOU,we
1,1,BURNHAM,GEORGIOU,can
1,1,BURNHAM,GEORGIOU,get
1,1,BURNHAM,GEORGIOU,in
1,1,BURNHAM,GEORGIOU,and
1,1,BURNHAM,GEORGIOU,out
1,1,BURNHAM,GEORGIOU,without
1,1,BURNHAM,GEORGIOU,making
1,1,BURNHAM,GEORGIOU,contact
1,1,BURNHAM,GEORGIOU,we
1,1,BURNHAM,GEORGIOU,can
1,1,BURNHAM,GEORGIOU,steer
1,1,BURNHAM,GEORGIOU,clear
1,1,BURNHAM,GEORGIOU,of
1,1,BURNHAM,GEORGIOU,General
1,1,BURNHAM,GEORGIOU,Order
1,1,BURNHAM,GEORGIOU,One
1,1,BURNHAM,GEORGIOU,And
1,1,BURNHAM,GEORGIOU,there
1,1,BURNHAM,GEORGIOU,is
1,1,BURNHAM,GEORGIOU,the
1,1,BURNHAM,GEORGIOU,well
1,1,BURNHAM,GEORGIOU,I
1,1,BURNHAM,GEORGIOU,stand
1,1,BURNHAM,GEORGIOU,corrected
1,1,GEORGIOU,BURNHAM,I
1,1,GEORGIOU,BURNHAM,stand
1,1,GEORGIOU,BURNHAM,corrected
1,1,GEORGIOU,BURNHAM,Ye
1,1,GEORGIOU,BURNHAM,of
1,1,GEORGIOU,BURNHAM,little
1,1,GEORGIOU,BURNHAM,faith
1,1,BURNHAM,GEORGIOU,Ye
1,1,BURNHAM,GEORGIOU,of
1,1,BURNHAM,GEORGIOU,little
1,1,BURNHAM,GEORGIOU,faith
1,1,BURNHAM,GEORGIOU,Oh
1,1,BURNHAM,GEORGIOU,never
1,1,BURNHAM,GEORGIOU,had
1,1,BURNHAM,GEORGIOU,a
1,1,BURNHAM,GEORGIOU,doubt
1,1,BURNHAM,GEORGIOU,powers
1,1,BURNHAM,GEORGIOU,up
1,1,BURNHAM,GEORGIOU,phaser
1,1,BURNHAM,GEORGIOU,rifle
1,1,BURNHAM,GEORGIOU,Tell
1,1,BURNHAM,GEORGIOU,me
1,1,BURNHAM,GEORGIOU,what
1,1,BURNHAM,GEORGIOU,I
1,1,BURNHAM,GEORGIOU,need
1,1,BURNHAM,GEORGIOU,to
1,1,BURNHAM,GEORGIOU,break
1,1,BURNHAM,GEORGIOU,through
1,1,BURNHAM,GEORGIOU,this
1,1,BURNHAM,GEORGIOU,bedrock
1,1,GEORGIOU,BURNHAM,Oh
