,average_score,total_lines
BURNHAM,34.07026485767509,2055
GEORGIOU,56.20945354435921,279
COMPUTER,46.16161616161616,144
DETMER,46.14007577344712,164
NARWANI,100.0,1
DENNAS,0.0,4
L'RELL,37.81265031265031,92
PSYCHO,0.0,5
TILLY,36.10253224938076,454
OWOSEKUN,54.26144015298427,153
AIRIAM,7.142857142857143,13
CORNWELL,51.301521225203,101
AMANDA,62.5,16
STELLA,25.0,4
HARRINGTON,66.66666666666666,3
POLLARD,43.75,15
ISSA,0.0,1
NILSSON,54.73484848484848,47
T'RINA,33.14628073451602,96
ZORA,57.18662464985994,151
J'VINI,75.0,20
GABRIELLE,94.5945945945946,37
RENO,13.048245614035087,60
NDOYE,39.58592132505176,63
