Season,Episode,Title,Bechdel Test,Contributing Female Characters,Female Speaking Percentage
1,1,The Vulcan Hello,Pass,"DETMER, GEORGIOU, BURNHAM, COMPUTER, NARWANI",62.00048437878421
1,2,Battle At The Binary Stars,Pass,"L'RELL, DENNAS, DETMER, GEORGIOU, BURNHAM, COMPUTER",50.81967213114754
1,3,Context Is For Kings,Pass,"BURNHAM, PSYCHO, COMPUTER, TILLY",42.44721169463996
1,4,The Butchers Knife Cares Not For The Lambs Cry,Pass,"L'RELL, AIRIAM, DETMER, OWOSEKUN, BURNHAM, COMPUTER, TILLY",39.99456226209897
1,5,Choose Your Pain,Pass,"L'RELL, CORNWELL, AIRIAM, DETMER, OWOSEKUN, BURNHAM, COMPUTER, TILLY",28.643096034400383
1,6,Lethe,Pass,"CORNWELL, AMANDA, BURNHAM, COMPUTER, TILLY",48.285852245292126
1,7,Magic To Make The Sanest Man Go Mad,Pass,"AIRIAM, BURNHAM, STELLA, COMPUTER, TILLY",30.372852953498114
1,8,Si Vis Pacem Para Bellum,Pass,"L'RELL, CORNWELL, AIRIAM, DETMER, OWOSEKUN, BURNHAM, COMPUTER, TILLY",37.585499316005475
1,9,Into The Forest I Go,Pass,"L'RELL, CORNWELL, AIRIAM, DETMER, OWOSEKUN, BURNHAM, COMPUTER, TILLY",26.941457586618878
1,10,Despite Yourself,Pass,"L'RELL, DETMER, OWOSEKUN, BURNHAM, COMPUTER, TILLY",38.091922005571035
1,11,The Wolf Inside,Pass,"HARRINGTON, DETMER, BURNHAM, COMPUTER, TILLY",56.00907029478458
1,12,Vaulting Ambition,Pass,"L'RELL, GEORGIOU, BURNHAM, COMPUTER, TILLY",54.99111900532859
1,13,Whats Past Is Prologue,Pass,"AIRIAM, DETMER, OWOSEKUN, GEORGIOU, BURNHAM, COMPUTER, TILLY",33.73970345963756
1,14,The War Without The War Within,Pass,"POLLARD, L'RELL, CORNWELL, DETMER, OWOSEKUN, GEORGIOU, BURNHAM, COMPUTER, TILLY",64.2547770700637
1,15,Will You Take My Hand,Pass,"L'RELL, CORNWELL, AMANDA, AIRIAM, DETMER, OWOSEKUN, GEORGIOU, BURNHAM, COMPUTER, TILLY",72.01374964193641
4,1,Kobayashi Maru,Pass,"DETMER, OWOSEKUN, BURNHAM, ISSA, COMPUTER, NILSSON, TILLY",41.19991608978393
4,2,Anomaly,Pass,"T'RINA, ZORA, DETMER, OWOSEKUN, BURNHAM, COMPUTER, NILSSON, TILLY",42.28961982058949
4,3,Choose To Live,Pass,"T'RINA, GABRIELLE, BURNHAM, COMPUTER, J'VINI, TILLY",54.77850697292863
4,4,All Is Possible,Pass,"BURNHAM, T'RINA, COMPUTER, TILLY",50.81610446137106
4,5,The Examples,Pass,"BURNHAM, COMPUTER, NILSSON, RENO",28.723218951402195
4,6,Stormy Weather,Pass,"POLLARD, ZORA, DETMER, OWOSEKUN, BURNHAM, NILSSON",52.72908366533865
4,7,But To Connect,Pass,"BURNHAM, ZORA, NDOYE, T'RINA",29.042448173741363
4,8,All In,Pass,"BURNHAM, ZORA, OWOSEKUN",34.74610155937625
4,9,Rubicon,Pass,"T'RINA, DETMER, OWOSEKUN, BURNHAM, COMPUTER, NILSSON",42.50698774457106
4,10,The Galactic Barrier,Pass,"T'RINA, ZORA, NDOYE, DETMER, OWOSEKUN, BURNHAM, NILSSON",27.4646443943431
4,11,Rosetta,Pass,"T'RINA, RENO, NDOYE, DETMER, BURNHAM, COMPUTER",42.945736434108525
4,12,Species Ten C,Pass,"T'RINA, RENO, ZORA, NDOYE, DETMER, OWOSEKUN, BURNHAM, COMPUTER, NILSSON",47.95026228871187
4,13,Coming Home,Pass,"POLLARD, T'RINA, RENO, ZORA, NDOYE, DETMER, OWOSEKUN, BURNHAM, COMPUTER, NILSSON, TILLY",45.531301482701814
