Season,Episode,Title,Character,Dialogue,Sentiment Score
01,01,the-vulcan-hello,T'KUVMA,"They are coming. Atom by atom they will coil around us and take all that we are. There is only one way to confront this threat. By reuniting the twenty four warring houses of our empire. We have forgotten the unforgettable, the last to unify our tribes, Kahless. Together under one creed, remain Klingon. That is why we light our beacon this day. To assemble our people. To lock arms against those fatal greeting is...(in English) We come in peace.",0.24000000000000005
01,01,the-vulcan-hello,BURNHAM,We come in peace. That's why we're here. Isn't that the whole idea of Starfleet?,0.2
01,01,the-vulcan-hello,GEORGIOU,"Hey, I taught you that.",0.0
01,01,the-vulcan-hello,BURNHAM,"You don't trust me, Captain?",0.0
01,01,the-vulcan-hello,GEORGIOU,"I trust you with my life, Commander Burnham, but it doesn't change the fact that you're lost. Very lost.",0.2
01,01,the-vulcan-hello,BURNHAM,"Technically, we would be lost.",0.0
01,01,the-vulcan-hello,GEORGIOU,How long until that storm comes crashing down on us?,-0.10277777777777777
01,01,the-vulcan-hello,BURNHAM,"I estimate one hour, 17 minutes, 22 seconds. Which is why I've made sure we're not lost. The map says the well is this way, Captain.",0.5
01,01,the-vulcan-hello,BURNHAM,This drought's going to last 89 years. The Crepusculans are facing extinction as a species. See those egg sacs? Those are their offspring.,0.0
01,01,the-vulcan-hello,GEORGIOU,"They've survived here for over a thousand years, Michael.",0.0
01,01,the-vulcan-hello,BURNHAM,"Right, and if we don't do something now, they won't live another thousand hours. The ambient radiation from a nearby drilling accident dried out their water table. If we can get in and out without making contact, we can steer clear of General Order One. And there is the well.",0.07441558441558441
01,01,the-vulcan-hello,GEORGIOU,I stand corrected.,0.0
01,01,the-vulcan-hello,BURNHAM,Ye of little faith.,-0.1875
01,01,the-vulcan-hello,GEORGIOU,"Oh, never had a doubt. (powers up phaser rifle) Tell me what I need to break through this bedrock.",0.0
01,01,the-vulcan-hello,BURNHAM,Point 7 second field burst at level setting 13.5.,0.0
01,01,the-vulcan-hello,GEORGIOU,Georgiou to Shenzhou. Two to transport.,0.0
01,01,the-vulcan-hello,BURNHAM,"The storm is moving faster than I thought. The ship won't be able to pick up our signatures. Unless we can contact Lieutenant Saru, we could be trapped here until it's over.",0.15
01,01,the-vulcan-hello,GEORGIOU,Let's take a walk.,0.0
01,01,the-vulcan-hello,GEORGIOU,"Follow my footsteps, Michael, even lines.",0.0
01,01,the-vulcan-hello,BURNHAM,"Why? Captain, where are we going?",0.0
01,01,the-vulcan-hello,GEORGIOU,"It's your turn to trust me, Number One.",0.0
01,01,the-vulcan-hello,BURNHAM,But now we're really lost. We're far too small to be seen with the naked eye. And you can't set a course without a star. Is it wise to be heading away from the village?,0.15
01,01,the-vulcan-hello,GEORGIOU,It's hard to imagine you've served under me for seven years. I think it's time that we talked about you having your own command.,0.15416666666666665
01,01,the-vulcan-hello,BURNHAM,"I'm grateful, Captain. Though I would be significantly more so if I thought we had any chance of ever returning to the ship.",0.5
01,01,the-vulcan-hello,GEORGIOU,"Just keep walking, Michael. What will you do if you were stuck here for 89 years?",0.0
01,01,the-vulcan-hello,BURNHAM,A likely scenario unless we die here in the desert.,0.0
01,01,the-vulcan-hello,GEORGIOU,But say you lived.,0.0
01,01,the-vulcan-hello,BURNHAM,"As a xenoanthropologist, I could reveal myself to the natives, learn their culture, try to fit in, if possible. And you, Captain? What will you do if we're trapped here for 89 years?",0.06666666666666667
01,01,the-vulcan-hello,GEORGIOU,That's easy. I'd escape.,0.43333333333333335
01,01,the-vulcan-hello,BURNHAM,These are our footprints. You've walked us in a circle.,0.0
01,01,the-vulcan-hello,GEORGIOU,Not exactly a circle.,-0.125
01,01,the-vulcan-hello,BURNHAM,How did they find us?,0.0
01,01,the-vulcan-hello,GEORGIOU,I set a star.,0.0
01,01,the-vulcan-hello,BURNHAM,"First Officer's Log, Stardate 1207.3. On Earth, it's May 11th, 2256. A Sunday. The crew of the USS Shenzhou has been called to the edge of Federation space to investigate damage done to one of our interstellar relays. Blast burns around the hole are inconclusive. Were they caused by an asteroid, or was it deliberately destroyed to limit Starfleet communications? And if so, by whom? Despite the risks of our mission, I remain optimistic. It's hard not to be in the face of such beauty. In this case, a binary star system. Around these two suns, ice, dust and gasses collide to form the planets future generations will call home. A humbling reminder that all life is born from chaos and destruction.",-0.010416666666666671
01,01,the-vulcan-hello,SARU,"Based on initial readings, I would say the relay doesn't appear to have been damaged naturally. I don't like the look of that.",0.05
01,01,the-vulcan-hello,BURNHAM,"Well, keep looking.",0.0
01,01,the-vulcan-hello,SARU,"Well, the comment was figurative. I'm expressing concern.",0.0
01,01,the-vulcan-hello,BURNHAM,"Finish your scans so you can express facts instead. The bridge is yours, Mister Saru.",0.0
01,01,the-vulcan-hello,SARU,Yes Commander.,0.0
01,01,the-vulcan-hello,GEORGIOU,"Yes, Number One.",0.0
01,01,the-vulcan-hello,BURNHAM,Your Chief Science Officer is worried. Something took a bite out of our relay. Saru thinks it was malicious.,0.0
01,01,the-vulcan-hello,GEORGIOU,Saru's Kelpien. He thinks everything's malicious. What do you think? Any idea what it is?,0.0
01,01,the-vulcan-hello,BURNHAM,"By all indications, nothing intelligent.",0.8
01,01,the-vulcan-hello,GEORGIOU,But?,0.0
01,01,the-vulcan-hello,BURNHAM,"Starfleet's reputation for tech hygiene is exemplary. When a relay goes down, the Federation sends a ship to fix it.",-0.15555555555555556
01,01,the-vulcan-hello,GEORGIOU,You think someone's trying to get our attention?,0.0
01,01,the-vulcan-hello,BURNHAM,"If they are, they have.",0.0
01,01,the-vulcan-hello,GEORGIOU,"Lieutenant Saru, what do we have?",0.0
01,01,the-vulcan-hello,SARU,"Ah. I have taken the initiative of keeping us at maximum scanning distance in case of anything threatening out there, Captain.",0.0
01,01,the-vulcan-hello,GEORGIOU,Yes. Number One tells me you suspect foul play.,0.0
01,01,the-vulcan-hello,SARU,Despite the First Officer's constant need to dismiss my ideas...,0.125
01,01,the-vulcan-hello,GEORGIOU,She apparently agrees with you.,0.05
01,01,the-vulcan-hello,SARU,Really?,0.2
01,01,the-vulcan-hello,GEORGIOU,"I'm shocked as well. Ensign Connor, agreement between my senior officers. Note the date and time.",-0.7
01,01,the-vulcan-hello,CONNOR,"Noted, Captain.",0.0
