,Word,Frequency
0,we,887
1,come,81
2,in,491
3,peace,16
4,that,776
5,s,892
6,why,89
7,re,299
8,here,188
9,isn,26
10,t,556
11,the,1958
12,whole,9
13,idea,24
14,of,762
15,starfleet,65
16,hey,33
17,i,1839
18,taught,6
19,you,1587
20,don,165
21,trust,27
22,me,341
23,captain,286
24,with,271
25,my,328
26,life,67
27,commander,113
28,burnham,58
29,but,328
30,it,958
31,doesn,38
32,change,12
33,fact,5
34,lost,40
35,very,32
36,technically,2
37,would,112
38,be,385
39,how,170
40,long,51
41,until,29
42,storm,5
43,comes,16
44,crashing,1
45,down,68
46,on,388
47,us,211
48,estimate,2
49,one,159
50,hour,4
51,17,6
52,minutes,28
53,22,4
54,seconds,27
55,which,29
56,is,645
57,ve,161
58,made,30
59,sure,45
60,not,329
61,map,7
62,says,8
63,well,87
64,this,433
65,way,115
66,drought,1
67,going,50
68,to,1596
69,last,22
70,89,3
71,years,32
72,crepusculans,1
73,are,374
74,facing,4
75,extinction,3
76,as,211
77,a,926
78,species,29
79,see,107
80,those,44
81,egg,2
82,sacs,1
83,their,92
84,offspring,1
85,they,279
86,survived,2
87,for,322
88,over,40
89,thousand,6
90,michael,48
91,right,124
92,and,709
93,if,242
94,do,251
95,something,81
96,now,189
97,won,48
98,live,20
99,another,36
100,hours,17
101,ambient,2
102,radiation,8
103,from,146
104,nearby,5
105,drilling,1
106,accident,4
107,dried,1
108,out,195
109,water,2
110,table,3
111,can,338
112,get,196
113,without,27
114,making,12
115,contact,30
116,steer,1
117,clear,17
118,general,20
119,order,31
120,there,235
121,stand,18
122,corrected,1
123,ye,1
124,little,28
125,faith,8
126,oh,68
127,never,56
128,had,67
129,doubt,4
130,powers,3
131,up,95
132,phaser,11
133,rifle,1
134,tell,66
135,what,352
136,need,157
137,break,9
138,through,49
139,bedrock,1
140,point,24
141,7,3
142,second,14
143,field,26
144,burst,2
145,at,177
146,level,6
147,setting,2
148,13,2
149,5,4
150,georgiou,19
151,shenzhou,24
152,two,53
153,transport,16
154,moving,11
155,faster,2
156,than,44
157,thought,38
158,ship,112
159,able,31
160,pick,4
161,our,189
162,signatures,4
163,unless,14
164,lieutenant,60
165,saru,94
166,could,126
167,trapped,5
168,let,122
169,take,82
170,walk,4
171,follow,12
172,footsteps,1
173,even,46
174,lines,3
175,where,73
176,your,343
177,turn,14
178,number,21
179,really,50
180,far,11
181,too,63
182,small,11
183,seen,20
184,naked,1
185,eye,4
186,set,16
187,course,39
188,star,7
189,wise,1
190,heading,9
191,away,29
192,village,1
193,hard,17
194,imagine,4
195,served,2
196,under,15
197,seven,10
198,think,109
199,time,114
200,talked,2
201,about,110
202,having,9
203,own,36
204,command,20
205,m,287
206,grateful,4
207,though,9
208,significantly,3
209,more,92
210,so,235
211,any,85
212,chance,14
213,ever,25
214,returning,4
215,just,142
216,keep,52
217,walking,2
218,will,220
219,were,87
220,stuck,3
221,likely,6
222,scenario,3
223,die,23
224,desert,2
225,say,54
226,lived,2
227,xenoanthropologist,2
228,reveal,3
229,myself,26
230,natives,1
231,learn,9
232,culture,8
233,try,21
234,fit,5
235,possible,25
236,easy,13
237,d,62
238,escape,11
239,these,47
240,footprints,1
241,walked,1
242,circle,2
243,exactly,19
244,did,101
245,find,60
246,first,62
247,officer,29
248,log,4
249,stardate,3
250,1207,1
251,3,5
252,earth,30
253,may,64
254,11th,1
255,2256,1
256,sunday,1
257,crew,48
258,uss,16
259,has,112
260,been,92
261,called,10
262,edge,10
263,federation,90
264,space,25
265,investigate,1
266,damage,13
267,done,28
268,interstellar,1
269,relays,3
270,blast,9
271,burns,1
272,around,23
273,hole,7
274,inconclusive,1
275,caused,6
276,by,91
277,an,141
278,asteroid,4
279,or,79
280,was,287
281,deliberately,1
282,destroyed,18
283,limit,2
284,communications,3
285,whom,4
286,despite,5
287,risks,4
288,mission,57
289,remain,7
290,optimistic,2
291,face,15
292,such,18
293,beauty,2
294,case,11
295,binary,6
296,system,26
297,suns,1
298,ice,3
299,dust,8
300,gasses,1
301,collide,1
302,form,8
303,planets,10
304,future,14
305,generations,3
306,call,23
307,home,45
308,humbling,2
309,reminder,2
310,all,216
311,born,4
312,chaos,1
313,destruction,4
314,looking,21
315,finish,8
316,scans,25
317,express,2
318,facts,1
319,instead,6
320,bridge,31
321,yours,17
322,mister,52
323,yes,77
324,chief,3
325,science,16
326,worried,5
327,took,17
328,bite,1
329,relay,5
330,thinks,4
331,malicious,3
332,kelpien,9
333,he,233
334,everything,40
335,indications,2
336,nothing,45
337,intelligent,1
338,reputation,2
339,tech,6
340,hygiene,1
341,exemplary,1
342,when,119
343,goes,6
344,sends,2
345,fix,6
346,someone,31
347,trying,35
348,attention,6
349,have,444
350,tells,4
351,suspect,3
352,foul,1
353,play,9
354,she,113
355,apparently,2
356,agrees,1
357,shocked,1
358,ensign,20
359,connor,8
360,agreement,2
361,between,21
362,senior,1
363,officers,5
364,note,2
365,date,3
366,amount,3
367,sarcasm,1
368,always,30
369,necessary,7
370,no,311
371,like,144
372,magnify,2
373,damaged,4
374,am,80
375,specific,3
376,range,15
377,2,5
378,000,14
379,kilometres,10
380,bearing,3
381,358,1
382,mark,12
383,269,1
384,roughly,3
385,150,1
386,metres,14
387,tucked,1
388,into,76
389,accretion,4
390,disk,1
391,almost,17
392,directly,8
393,below,1
394,sensor,6
395,dead,24
396,zone,14
397,some,71
398,kind,53
399,scattering,4
400,confounding,1
401,ability,4
402,translate,2
403,image,3
404,thoughts,10
405,data,40
406,prefer,2
407,speculate,1
408,hiding,7
409,maybe,34
410,hoping,8
411,found,37
412,speculating,1
413,much,65
414,choice,16
415,lock,13
416,shuttle,35
417,maneuverable,1
418,enough,28
419,navigate,5
420,ring,2
421,ll,179
422,go,102
423,thruster,3
424,pack,2
425,noodles,2
426,back,114
427,19,2
428,flyby,3
429,understand,43
430,being,28
431,afraid,15
432,means,20
433,opportunity,3
434,discover,2
435,explore,2
436,both,34
437,her,109
438,best,24
439,variables,1
440,minimum,1
441,wouldn,15
442,want,85
443,put,31
444,colleague,2
445,risk,14
446,equally,1
447,happy,12
448,realise,5
449,once,26
450,reach,16
451,cut,12
452,off,42
453,communication,12
454,irresponsible,1
455,leave,31
456,whatever,30
457,unknown,7
458,commencing,5
459,airlock,2
460,depressurisation,2
461,sequence,3
462,reconnaissance,1
463,void,5
464,object,11
465,collection,2
466,nominal,8
467,lights,6
468,green,7
469,confirming,1
470,six,24
471,directional,1
472,thrust,1
473,saucer,1
474,realignment,1
475,final,5
476,prelaunch,1
477,checks,1
478,support,12
479,oxygen,5
480,nitrogen,2
481,saturation,2
482,air,5
483,pressure,8
484,flow,2
485,module,2
486,active,5
487,filters,4
488,0,3
489,01,2
490,computer,26
491,enable,1
492,igniter,1
493,ten,50
494,ignition,1
495,nine,8
496,eight,8
497,five,19
498,four,21
499,three,25
500,fun,6
501,debris,8
502,understood,9
503,watch,10
504,aye,52
505,boost,2
506,signal,20
507,clock,4
508,30,7
509,copy,6
510,distance,10
511,1,7
512,kilometers,3
513,closing,4
514,implementing,2
515,automatic,2
516,correction,2
517,hello,14
518,hear,20
519,acknowledge,4
520,unit,4
521,internal,5
522,line,10
523,good,77
524,12,6
525,58,2
526,plenty,2
527,peek,1
528,clearly,5
529,less,13
530,outermost,1
531,remember,20
532,who,77
533,said,44
534,sculptures,1
535,crystallized,1
536,spirituality,1
537,headlamp,1
538,meant,10
539,blind,4
540,above,8
541,old,14
542,centuries,3
543,difficult,7
544,constructed,1
545,carved,1
546,only,62
547,word,12
548,effectively,1
549,describe,2
550,wow,5
551,precise,1
552,its,51
553,surface,9
554,appearance,2
555,stone,3
556,exoskeleton,1
557,metal,2
558,alloy,3
559,incredibly,3
560,intricate,1
561,construction,2
562,design,4
563,short,2
564,astounding,1
565,wish,10
566,seeing,8
567,sublime,1
568,impossible,8
569,discern,2
570,practical,2
571,purpose,9
572,land,4
573,closer,12
574,look,36
575,nice,8
576,hold,21
577,presence,6
578,triggered,1
579,sort,6
580,motion,1
581,response,15
582,countdown,1
583,15,9
584,warning,22
585,proximity,9
586,alert,50
587,scanning,6
588,database,5
589,recognition,1
590,iconography,1
591,confirmed,13
592,klingon,77
593,united,19
594,still,51
595,sign,9
596,runs,3
597,transporter,8
598,control,20
599,weeton,1
600,better,21
601,remotely,2
602,fire,18
603,jetpack,1
604,offline,5
605,engineering,17
606,tractor,4
607,beam,29
608,soon,17
609,exhibit,2
610,symptoms,2
611,acute,1
612,syndrome,1
613,hang,5
614,pupil,2
615,social,1
616,rests,1
617,upon,7
618,inviolable,1
619,honour,15
620,shame,4
621,dynamic,1
622,correct,9
623,homeworld,8
